rho,u_tilda
0.000502633,1
0.000502633,1
0.000502633,1
0.000502633,1
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999999
0.000502633,0.99999998
0.000502633,0.99999998
0.000502633,0.99999998
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999997
0.000502633,0.99999996
0.000502633,0.99999996
0.000502633,0.99999996
0.000502633,0.99999996
0.000502633,0.99999995
0.000502633,0.99999995
0.000502633,0.99999995
0.000502633,0.99999994
0.000502633,0.99999994
0.000502633,0.99999994
0.000502633,0.99999994
0.000502633,0.99999993
0.000502633,0.99999993
0.000502633,0.99999993
0.000502633,0.99999992
0.000502633,0.99999992
0.000502633,0.99999992
0.000502633,0.99999991
0.000502633,0.99999991
0.000502633,0.99999991
0.000502633,0.9999999
0.000502633,0.9999999
0.000502633,0.9999999
0.000502633,0.9999999
0.000502633,0.99999989
0.000502633,0.99999988
0.000502633,0.99999986
0.000502633,0.99999985
0.000502633,0.99999984
0.000502633,0.99999982
0.000502634,0.99999981
0.000502634,0.9999998
0.000502634,0.99999979
0.000502634,0.99999977
0.000502634,0.99999975
0.000502634,0.99999973
0.000502634,0.99999972
0.000502634,0.9999997
0.000502634,0.99999968
0.000502634,0.99999967
0.000502634,0.99999966
0.000502634,0.99999964
0.000502634,0.99999962
0.000502634,0.99999961
0.000502634,0.99999959
0.000502634,0.99999958
0.000502634,0.99999956
0.000502634,0.99999955
0.000502634,0.99999954
0.000502634,0.99999952
0.000502634,0.99999951
0.000502634,0.99999949
0.000502635,0.99999948
0.000502635,0.99999947
0.000502635,0.99999945
0.000502635,0.99999944
0.000502635,0.99999943
0.000502635,0.99999941
0.000502635,0.99999938
0.000502635,0.99999936
0.000502635,0.99999934
0.000502635,0.99999932
0.000502635,0.9999993
0.000502635,0.99999928
0.000502635,0.99999926
0.000502635,0.99999923
0.000502635,0.9999992
0.000502635,0.99999917
0.000502636,0.99999914
0.000502636,0.99999912
0.000502636,0.99999909
0.000502636,0.99999906
0.000502636,0.99999904
0.000502636,0.99999892
0.000502637,0.99999881
0.000502637,0.99999872
0.000502637,0.99999863
0.000502638,0.9999985
0.000502638,0.99999839
0.000502638,0.99999828
0.000502639,0.99999818
0.000502639,0.999998
0.00050264,0.99999783
0.00050264,0.99999767
