rho,u_tilda
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346173
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346172
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.3346171
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.334617
1.33E-06,1.3346169
1.33E-06,1.3346169
